Article_Index,SARI_Score,NatGeo_to_Wikipedia_SARI,Wikipedia_to_NatGeo_SARI
526,0.2159,0.3301,0.1016
527,0.1369,0.1995,0.0743
528,0.2081,0.3425,0.0738
529,0.0669,0.0798,0.0539
530,0.2207,0.3130,0.1283
531,0.2084,0.3123,0.1044
532,0.1926,0.2759,0.1092
533,0.1564,0.1963,0.1165
534,0.1855,0.3002,0.0707
535,0.2084,0.3265,0.0903
536,0.2081,0.2941,0.1220
537,0.2288,0.3506,0.1070
538,0.1536,0.2355,0.0717
539,0.2236,0.3516,0.0956
540,0.0187,0.0199,0.0174
541,0.1552,0.2444,0.0659
542,0.0688,0.1168,0.0208
543,0.0977,0.1597,0.0358
544,0.1741,0.2709,0.0773
545,0.1709,0.2810,0.0607
546,0.2142,0.3414,0.0871
547,0.1492,0.1862,0.1121
548,0.0890,0.1557,0.0224
549,0.0495,0.0784,0.0205
550,0.0581,0.0951,0.0210
551,0.0741,0.1221,0.0262
552,0.1358,0.2144,0.0572
553,0.0151,0.0190,0.0112
554,0.1008,0.1466,0.0551
555,0.1451,0.2638,0.0264
556,0.0188,0.0138,0.0238
557,0.0000,0.0000,0.0000
558,0.0000,0.0000,0.0000
559,0.2163,0.3297,0.1028
560,0.1047,0.1468,0.0627
561,0.1614,0.2575,0.0652
562,0.0264,0.0506,0.0022
563,0.0000,0.0000,0.0000
564,0.0332,0.0403,0.0262
565,0.0270,0.0318,0.0222
566,0.0490,0.0650,0.0331
567,0.1983,0.3889,0.0077
568,0.1183,0.1640,0.0727
569,0.0853,0.1391,0.0314
570,0.0264,0.0506,0.0022
571,0.2078,0.3321,0.0835
572,0.1693,0.2653,0.0734
573,0.1899,0.2998,0.0799
574,0.1533,0.2089,0.0976
575,0.1646,0.2485,0.0808
576,0.1453,0.1662,0.1244
577,0.1637,0.2405,0.0869
578,0.1874,0.2960,0.0788
579,0.0244,0.0374,0.0115
580,0.0000,0.0000,0.0000
581,0.0131,0.0177,0.0085
582,0.0000,0.0000,0.0000
583,0.0346,0.0588,0.0104
584,0.0000,0.0000,0.0000
585,0.0543,0.0597,0.0489
586,0.0850,0.0282,0.1417
587,0.0271,0.0333,0.0209
588,0.0000,0.0000,0.0000
589,0.0000,0.0000,0.0000
590,0.0803,0.1458,0.0148
591,0.0381,0.0690,0.0072
592,0.0268,0.0354,0.0183
593,0.0467,0.0708,0.0225
594,0.0728,0.1236,0.0220
595,0.0071,0.0081,0.0062
596,0.0495,0.0606,0.0384
597,0.1188,0.2079,0.0298
598,0.0611,0.0806,0.0415
599,0.1467,0.2857,0.0078
600,0.1454,0.2857,0.0051
601,0.0848,0.1618,0.0079
602,0.1510,0.2568,0.0453
603,0.1236,0.1978,0.0494
604,0.1872,0.2716,0.1028
605,0.2012,0.3201,0.0824
606,0.1269,0.2251,0.0288
607,0.1235,0.1484,0.0986
608,0.2684,0.4949,0.0419
609,0.0794,0.0730,0.0858
610,0.0352,0.0702,0.0003
611,0.1595,0.2500,0.0690
612,0.0473,0.0580,0.0366
613,0.0000,0.0000,0.0000
614,0.0396,0.0702,0.0091
615,0.1781,0.3370,0.0192
616,0.1801,0.2833,0.0768
617,0.1490,0.2049,0.0931
618,0.0659,0.1076,0.0242
619,0.0500,0.0836,0.0164
620,0.0808,0.0976,0.0639
621,0.0731,0.0851,0.0611
622,0.0389,0.0445,0.0332
623,0.1051,0.1595,0.0506
624,0.0807,0.1223,0.0391
625,0.0378,0.0725,0.0031
626,0.0393,0.0741,0.0046
627,0.1948,0.2914,0.0981
628,0.0442,0.0475,0.0408
629,0.2418,0.3597,0.1238
630,0.0931,0.1498,0.0365
631,0.0408,0.0500,0.0316
632,0.0780,0.1099,0.0461
633,0.1023,0.1608,0.0439
634,0.0963,0.1522,0.0403
635,0.0699,0.0994,0.0403
636,0.0381,0.0653,0.0110
637,0.0000,0.0000,0.0000
638,0.0629,0.1019,0.0239
639,0.0380,0.0283,0.0476
640,0.0403,0.0769,0.0036
641,0.0000,0.0000,0.0000
642,0.0277,0.0417,0.0137
643,0.0342,0.0576,0.0108
644,0.2289,0.3262,0.1316
645,0.0682,0.1097,0.0267
646,0.0582,0.0727,0.0437
647,0.0363,0.0602,0.0124
648,0.0452,0.0809,0.0095
649,0.0447,0.0734,0.0159
650,0.0510,0.0909,0.0111
651,0.0000,0.0000,0.0000
652,0.0230,0.0298,0.0163
653,0.0309,0.0416,0.0202
654,0.0340,0.0130,0.0551
655,0.0543,0.0700,0.0385
656,0.0346,0.0588,0.0104
657,0.0335,0.0283,0.0387
658,0.0039,0.0043,0.0035
